n,k,alpha/beta,alpha/beta SD,d,d_shift,d_sd,n0,max_d,dose_of_interest,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCP_mean,TCP_sd
100,20,1,2,2,-5,0,200,100,64,94.84155208,24.54828213,24.54828213,29.43962675,29.43962675,28.44659718,28.44659718,20.69300278,20.69300278,26.42588071,26.42588071,18.6388979,18.6388979,24.33773363,24.33773363,28.08853114,28.08853114,25.95072713,25.95072713,27.23255432,27.23255432,27.01523656,27.01523656,19.3679869,19.3679869,21.76151731,21.76151731,28.05008321,28.05008321,23.46459462,23.46459462,25.86721049,25.86721049,25.8040994,25.8040994,24.05637275,24.05637275,30.76630731,30.76630731,25.53069515,27.00706829,11.31518905
100,20,1,2,2,-5,0,200,100,66,25.53069515,27.37337034,27.37337034,27.28613443,27.28613443,24.39759755,24.39759755,31.23428861,31.23428861,26.70710206,26.70710206,29.53387776,29.53387776,28.87739389,28.87739389,26.06183174,26.06183174,29.78443589,29.78443589,29.76256875,29.76256875,27.59634003,27.59634003,27.30884402,27.30884402,25.23113102,25.23113102,27.24841864,27.24841864,26.59647643,26.59647643,26.66884112,26.66884112,25.78331395,25.78331395,32.90003901,32.90003901,28.14120732,28.14120732,31.93748583,27.86136515,2.134900521
100,20,1,2,2,-5,0,200,100,68,31.93748583,33.93401823,33.93401823,35.04535614,35.04535614,30.69005842,30.69005842,30.75578964,30.75578964,22.24915808,22.24915808,33.49462236,33.49462236,26.41760842,26.41760842,24.10291083,24.10291083,33.96889547,33.96889547,40.02665907,40.02665907,30.63080672,30.63080672,35.28073963,35.28073963,32.21100854,32.21100854,30.28360442,30.28360442,28.12615443,28.12615443,29.98734288,29.98734288,35.47553221,35.47553221,27.50084993,27.50084993,28.88825744,28.88825744,25.58176935,30.89145002,4.172134114
100,20,1,2,2,-5,0,200,100,70,25.58176935,38.14850399,38.14850399,35.03811549,35.03811549,32.42249478,32.42249478,25.71274728,25.71274728,36.05985611,36.05985611,27.12721781,27.12721781,33.43460256,33.43460256,29.52138648,29.52138648,33.03587523,33.03587523,31.48745755,31.48745755,30.89089632,30.89089632,26.693109,26.693109,32.66390281,32.66390281,30.46615299,30.46615299,33.84712591,33.84712591,34.55466005,34.55466005,30.3662854,30.3662854,36.96323022,36.96323022,29.87925413,29.87925413,28.13049982,31.75845043,3.444906197
100,20,1,2,2,-5,0,200,100,72,28.13049982,32.44252939,32.44252939,32.73775938,32.73775938,41.45527351,41.45527351,37.84648939,37.84648939,35.61505472,35.61505472,29.97898593,29.97898593,33.55069939,33.55069939,33.92868948,33.92868948,36.63055103,36.63055103,34.29089243,34.29089243,43.15233217,43.15233217,41.94691876,41.94691876,31.27425748,31.27425748,32.26671619,32.26671619,36.14383679,36.14383679,41.37146698,41.37146698,38.3331378,38.3331378,39.13402093,39.13402093,33.41693667,33.41693667,35.75502932,35.87296565,3.941769136
100,20,1,2,2,-5,0,200,100,74,35.75502932,40.65149451,40.65149451,34.78984821,34.78984821,37.32289044,37.32289044,37.9597806,37.9597806,36.86091736,36.86091736,38.50589608,38.50589608,47.64581211,47.64581211,37.63763313,37.63763313,33.94995684,33.94995684,37.34268341,37.34268341,43.81846141,43.81846141,40.59955826,40.59955826,39.8060306,39.8060306,35.23659387,35.23659387,39.56443138,39.56443138,40.50275998,40.50275998,40.81102082,40.81102082,43.25404178,43.25404178,37.16208111,37.16208111,39.65362493,39.05631095,3.219928468
100,20,1,2,2,-5,0,200,100,76,39.65362493,45.00518637,45.00518637,38.04655136,38.04655136,40.18433613,40.18433613,38.03181859,38.03181859,38.78190506,38.78190506,43.40879207,43.40879207,37.44894159,37.44894159,31.51532285,31.51532285,40.51307149,40.51307149,35.44369939,35.44369939,45.11645162,45.11645162,43.45300869,43.45300869,36.82625894,36.82625894,42.78875149,42.78875149,41.55855442,41.55855442,51.5462378,51.5462378,45.55050982,45.55050982,46.47185406,46.47185406,38.2778055,38.2778055,38.53177255,40.9530878,4.448174228
100,20,1,2,2,-5,0,200,100,78,38.53177255,41.37625276,41.37625276,47.12095737,47.12095737,44.34501088,44.34501088,39.32801121,39.32801121,41.43491028,41.43491028,39.00605231,39.00605231,43.4717526,43.4717526,46.16004028,46.16004028,40.89053153,40.89053153,41.53325977,41.53325977,44.27862902,44.27862902,43.80979869,43.80979869,47.59914407,47.59914407,43.66903857,43.66903857,44.75028124,44.75028124,49.50412367,49.50412367,45.6639113,45.6639113,43.97326647,43.97326647,39.06799119,39.06799119,42.79925645,43.38242389,2.915147584
100,20,1,2,2,-5,0,200,100,80,42.79925645,50.94596177,50.94596177,46.05990391,46.05990391,43.08019478,43.08019478,51.70566852,51.70566852,48.72721486,48.72721486,51.65662641,51.65662641,47.8561081,47.8561081,44.33154968,44.33154968,53.64228227,53.64228227,50.97145701,50.97145701,47.87812708,47.87812708,47.69305387,47.69305387,48.91290211,48.91290211,49.86128844,49.86128844,39.94947799,39.94947799,45.40914333,45.40914333,44.10468037,44.10468037,43.3567893,43.3567893,48.51324503,48.51324503,49.61301127,47.54309043,3.478491793
100,20,1.5,2,2,-5,0,200,100,64,49.61301127,40.95213444,40.95213444,45.28756135,45.28756135,37.28424796,37.28424796,43.05151561,43.05151561,39.08189134,39.08189134,47.73077423,47.73077423,41.06045105,41.06045105,33.15162079,33.15162079,39.84141516,39.84141516,39.53612669,39.53612669,48.68463007,48.68463007,46.9927643,46.9927643,44.69209815,44.69209815,40.53620594,40.53620594,44.94620544,44.94620544,41.43584845,41.43584845,38.43211611,38.43211611,45.6470283,45.6470283,45.98456209,45.98456209,43.63966967,42.5477769,4.004645928
